title,authors,author_count,year,publication_date,journal,publisher,type,is_oa,doi,doi_url,pdf_url,openalex_id,pmid,cited_by_count
Code and dataset from Species-area and network-area relationships in host–helminth interactions,"Tad Dallas, Pedro Jordano",2,2021,2021-01-01,Figshare,Figshare (United Kingdom),dataset,True,https://doi.org/10.6084/m9.figshare.14248075,https://doi.org/10.6084/m9.figshare.14248075,https://doi.org/10.6084/m9.figshare.14248075,https://openalex.org/W4394364239,,0
"Code and data to reproduce the analyses in ""Parasite species richness and host range are not spatially conserved""","Tad Dallas, Pedro Jordano",2,2021,2021-01-01,Figshare,Figshare (United Kingdom),dataset,True,https://doi.org/10.6084/m9.figshare.9977420,https://doi.org/10.6084/m9.figshare.9977420,https://doi.org/10.6084/m9.figshare.9977420,https://openalex.org/W4394404441,,0
TempPart Data,"Iago Ferreiro Arias, Ana Benítez López, Pedro Jordano et al.",4,2021,2021-01-01,Figshare,Figshare (United Kingdom),dataset,True,https://doi.org/10.6084/m9.figshare.14376473,https://doi.org/10.6084/m9.figshare.14376473,https://doi.org/10.6084/m9.figshare.14376473,https://openalex.org/W4394538475,,0
Informe del GTM sobre Datos e información en la epidemia COVID-19 y propuestas para la evolución digital del sistema de salud,"José M. Ordovás, Mariano Estéban, Rocío García‐Retamero et al.",23,2020,2020-12-11,DIGITAL.CSIC (Spanish National Research Council (CSIC)),Consejo Superior de Investigaciones Científicas,report,True,https://doi.org/10.20350/digitalcsic/13723,https://doi.org/10.20350/digitalcsic/13723,http://hdl.handle.net/10261/227607,https://openalex.org/W3163980387,,0
Informe del GTM sobre Inmunidad protectora y reinfección en COVID-19,"José M. Ordovás, Mariano Estéban, Rocío García‐Retamero et al.",18,2020,2020-12-07,DIGITAL.CSIC (Spanish National Research Council (CSIC)),Consejo Superior de Investigaciones Científicas,report,True,https://doi.org/10.20350/digitalcsic/13724,https://doi.org/10.20350/digitalcsic/13724,http://hdl.handle.net/10261/227608,https://openalex.org/W3126341616,,0
Informe del GTM sobre Vacunas frente al SARS-CoV-2 causante de la COVID-19: Conceptos y desarrollos,"José M. Ordovás, Mariano Estéban, Rocío García‐Retamero et al.",17,2020,2020-11-21,DIGITAL.CSIC (Spanish National Research Council (CSIC)),Consejo Superior de Investigaciones Científicas,report,True,https://doi.org/10.20350/digitalcsic/13722,https://doi.org/10.20350/digitalcsic/13722,https://doi.org/10.20350/digitalcsic/13722,https://openalex.org/W3134252305,,0
Informe del GTM sobre propuesta de una selección experta para una política Tecnológica e Industrial,"José M. Ordovás, Mariano Estéban, Rocío García‐Retamero et al.",17,2020,2020-11-20,DIGITAL.CSIC (Spanish National Research Council (CSIC)),Consejo Superior de Investigaciones Científicas,report,True,https://doi.org/10.20350/digitalcsic/13721,https://doi.org/10.20350/digitalcsic/13721,http://hdl.handle.net/10261/227604,https://openalex.org/W3127064496,,0
"Extant fruit‐eating birds promote genetically diverse seed rain, but disperse to fewer sites in defaunated tropical forests","Carolina da Silva Carvalho, Cristina García, Marília Souza Lucas et al.",5,2020,2020-10-29,Journal of Ecology,Wiley,article,True,https://doi.org/10.1111/1365-2745.13534,https://doi.org/10.1111/1365-2745.13534,http://hdl.handle.net/11449/205554,https://openalex.org/W3096898643,,25
Informe GTM sobre la Práctica y la Investigación en Nutrición en Tiempos de la COVID-19,"José M. Ordovás, Mariano Estéban, Rocío García‐Retamero et al.",17,2020,2020-10-28,DIGITAL.CSIC (Spanish National Research Council (CSIC)),Consejo Superior de Investigaciones Científicas,report,True,https://doi.org/10.20350/digitalcsic/13720,https://doi.org/10.20350/digitalcsic/13720,http://hdl.handle.net/10261/227603,https://openalex.org/W3133893307,,1
"Assessing short- and long-term variations in diversity, timing, and body condition of migratory frugivorous birds","María Campo‐Celada, Irene Mendoza, Ana Benítez‐López et al.",6,2020,2020-10-27,bioRxiv (Cold Spring Harbor Laboratory),Cold Spring Harbor Laboratory,preprint,True,https://doi.org/10.1101/2020.10.27.356709,https://doi.org/10.1101/2020.10.27.356709,https://www.biorxiv.org/content/biorxiv/early/2020/10/27/2020.10.27.356709.full.pdf,https://openalex.org/W3095798247,,0
