category,slug,title,year,journal,doi,citations,openalex,closest_bib_title,closest_score
repository deposit,informe-del-gtm-sobre-inmunidad-protectora-y-reinfección-en-covid-19,Informe del GTM sobre Inmunidad protectora y reinfección en COVID-19,2020,DIGITAL.CSIC (Spanish National Research Council (CSIC)),10.20350/digitalcsic/13724,0,W3126341616,,
repository deposit,informe-del-gtm-sobre-la-validez-e-interpretación-de-las-pruebas-de-diagnóstico-,Informe del GTM sobre la validez e interpretación de las pruebas de diagnóstico para SARS-CoV-2,2020,DIGITAL.CSIC (Spanish National Research Council (CSIC)),10.20350/digitalcsic/13715,0,W3137032849,,
repository deposit,informe-del-gtm-sobre-propuesta-de-una-selección-experta-para-una-política-tecno,Informe del GTM sobre propuesta de una selección experta para una política Tecnológica e Industrial,2020,DIGITAL.CSIC (Spanish National Research Council (CSIC)),10.20350/digitalcsic/13721,0,W3127064496,,
repository deposit,informe-del-gtm-sobre-vacunas-frente-al-sars-cov-2-causante-de-la-covid-19-conce,Informe del GTM sobre Vacunas frente al SARS-CoV-2 causante de la COVID-19: Conceptos y desarrollos,2020,DIGITAL.CSIC (Spanish National Research Council (CSIC)),10.20350/digitalcsic/13722,0,W3134252305,,
repository deposit,informe-gtm-sobre-la-práctica-y-la-investigación-en-nutrición-en-tiempos-de-la-c,Informe GTM sobre la Práctica y la Investigación en Nutrición en Tiempos de la COVID-19,2020,DIGITAL.CSIC (Spanish National Research Council (CSIC)),10.20350/digitalcsic/13720,1,W3133893307,,
repository deposit,informe-sobre-covid-19-en-espacios-interiores-en-particular-restaurantes,"Informe sobre COVID-19 en espacios interiores, en particular restaurantes",2020,DIGITAL.CSIC (Spanish National Research Council (CSIC)),10.20350/digitalcsic/13719,1,W3129136825,,
repository deposit,informe-sobre-inmunidad-pediátrica-y-la-reapertura-del-sistema-escolar-en-la-épo,Informe sobre inmunidad pediátrica y la reapertura del sistema escolar en la época del COVID-19,2020,DIGITAL.CSIC (Spanish National Research Council (CSIC)),10.20350/digitalcsic/13718,0,W3128449392,,
repository deposit,pedro-jordano-desconocemos-aún-los-virus-que-pueden-saltar-a-los-humanos-son-caj,"Pedro Jordano: ""Desconocemos aún los virus que pueden saltar a los humanos. Son cajas de Pandora por abrirse",2020,DIGITAL.CSIC (Spanish National Research Council (CSIC)),,0,W3027173748,,
repository deposit,posicionamiento-del-gtm-sobre-un-posible-pasaporte-inmunológico,Posicionamiento del GTM sobre un posible pasaporte inmunológico,2020,DIGITAL.CSIC (Spanish National Research Council (CSIC)),10.20350/digitalcsic/13727,0,W3166296577,,
repository deposit,esm-for-seed-dispersal-by-dispersing-juvenile-animals-from-seed-dispersal-by-dis,ESM for Seed dispersal by dispersing juvenile animals from Seed dispersal by dispersing juvenile animals: a source of functional connectivity in fragmented landscapes,2019,Figshare,10.6084/m9.figshare.8311511.v1,0,W2949626307,seed dispersal by dispersing juvenile animals a source of functional connectivity in fragm,0.782
repository deposit,defaunation-implications-for-ecosystem-carbon-cycling-and-storage-in-tropical-fo,Defaunation implications for ecosystem carbon cycling and storage in tropical forests,2017,Figshare,10.6084/m9.figshare.5280709,0,W4394342496,,
repository deposit,patterns-and-drivers-of-tree-fecundity-in-pedunculate-oak-quercus-robur-refugial,Patterns and drivers of tree fecundity in Pedunculate oak (Quercus robur) refugial populations at the species’ southern range margin,2017,HAL (Le Centre pour la Communication Scientifique Directe),,0,W4206886002,drivers of tree fecundity in pedunculate oak quercus robur refugial populations at the spe,0.932
repository deposit,pedrojeffectiveness_pckg-r-package-effectlndscp-v02,pedroj/effectiveness_pckg: R package: effect.lndscp v.0.2,2017,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.376763,7,W3205449798,,
